date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-05-05,BKK,departure,13:45,TFU Chengdu,9C7502,9C,3h 0m,13:45 | Spring Airlines | TFU Chengdu | 9C7502 | 3h 0m | DETAILS,2026-02-02T08:23:50.518429
2026-05-05,BKK,departure,13:50,CNX Chiang Mai,VZ106,VZ,1h 20m,13:50 | Vietjet Thailand | CNX Chiang Mai | VZ106 | 1h 20m | DETAILS,2026-02-02T08:23:50.614861
2026-05-05,BKK,departure,13:50,PVG Shanghai,9C7422,9C,4h 10m,13:50 | Spring Airlines | PVG Shanghai | 9C7422 | 4h 10m | DETAILS,2026-02-02T08:23:50.714342
2026-05-05,BKK,departure,13:50,TFU Chengdu,CA466,CA,3h 10m,13:50 | Air China | TFU Chengdu | CA466 | 3h 10m | DETAILS,2026-02-02T08:23:50.817124
2026-05-05,BKK,departure,13:50,PNQ Pune,IX241,IX,4h 40m,13:50 | Air India Express | PNQ Pune | IX241 | 4h 40m | DETAILS,2026-02-02T08:23:50.919593
2026-05-05,BKK,departure,13:55,HKT Phuket,TG211,TG,1h 30m,13:55 | Thai Airways | HKT Phuket | TG211 | 1h 30m | DETAILS,2026-02-02T08:23:51.031355
2026-05-05,BKK,departure,13:55,CMB Colombo,UL405,UL,3h 30m,13:55 | SriLankan Airlines | CMB Colombo | UL405 | 3h 30m | DETAILS,2026-02-02T08:23:51.245812
2026-05-05,BKK,departure,13:55,CAN Guangzhou,CZ8100,CZ,3h 5m,13:55 | China Southern | CAN Guangzhou | CZ8100 | 3h 5m | DETAILS,2026-02-02T08:23:51.574811
2026-05-05,BKK,departure,14:00,SGN Ho Chi Minh City,VJ804,VJ,1h 30m,14:00 | VietJet | SGN Ho Chi Minh City | VJ804 | 1h 30m | DETAILS,2026-02-02T08:23:51.694452
2026-05-05,BKK,departure,14:00,VIE Vienna,OS6,OS,11h 35m,14:00 | Austrian | VIE Vienna | OS6 | 11h 35m | DETAILS,2026-02-02T08:23:51.801067
2026-05-05,BKK,departure,14:00,HKG Hong Kong,TG638,TG,2h 45m,14:00 | Thai Airways | HKG Hong Kong | TG638 | 2h 45m | DETAILS,2026-02-02T08:23:51.937543
2026-05-05,BKK,departure,14:05,TPE Taipei,CI832,CI,3h 35m,14:05 | China Airlines | TPE Taipei | CI832 | 3h 35m | DETAILS,2026-02-02T08:23:52.112613
2026-05-05,BKK,departure,14:05,XIY Xian,9C6294,9C,3h 55m,14:05 | Spring Airlines | XIY Xian | 9C6294 | 3h 55m | DETAILS,2026-02-02T08:23:52.235463
2026-05-05,BKK,departure,14:10,DAC Dhaka,BS218,BS,2h 40m,14:10 | US-Bangla Airlines | DAC Dhaka | BS218 | 2h 40m | DETAILS,2026-02-02T08:23:52.355762
2026-05-05,BKK,departure,14:10,KBV Krabi,FD4400,FD,1h 25m,14:10 | Thai AirAsia | KBV Krabi | FD4400 | 1h 25m | DETAILS,2026-02-02T08:23:52.455668
